Amb_temp,FS0,FS1,FS2,FS3,FS4,FS5,Supply_Air_Temp0,Supply_Air_Temp1,Supply_Air_Temp2,Supply_Air_Temp3,Supply_Air_Temp4,Supply_Air_Temp5,LC_FlowRate1,LC_FlowRate2,cooling_power,rack_power,IT_power,RCI_HI,RCI_LO,PUE,Rack_Tem0,Rack_Tem1,Rack_Tem2,Rack_Tem3,Rack_Tem4,Rack_Tem5,Rack_Tem6,Rack_Tem7,Rack_Tem8,Rack_Tem9,Rack_Tem10,Rack_Tem11,Rack_Tem12,Rack_Tem13,Rack_Tem14,Rack_Tem15,Rack_Tem16,Rack_Tem17,Rack_Tem18,Rack_Tem19,Rack_Tem20,Rack_Tem21,Rack_Tem22,Rack_Tem23,Rack_Tem24,Rack_Tem25,Rack_Tem26,Rack_Tem27,Rack_Tem28,Rack_Tem29,Rack_Tem30,Rack_Tem31,Rack_Tem32,Rack_Tem33,Rack_Tem34,Rack_Tem35,Rack_Tem36,Rack_Tem37,Rack_Tem38,Rack_Tem39,Rack_Tem40,Rack_Tem41,Rack_Tem42,Rack_Tem43,Rack_Tem44,Rack_Tem45,Rack_Tem46,Rack_Tem47,Rack_Tem48,Return_Air_Temp0,Return_Air_Temp1,Return_Air_Temp2,Return_Air_Temp3,Return_Air_Temp4,Return_Air_Temp5,LC_RET0,LC_RET1
2.375,60.0,60.0,60.0,60.0,60.0,60.0,22.79999924,22.29999924,23.29999924,11.89999962,22.29999924,16.89999962,98.8,99.7,165.1852452,542.932444421,783.8180212,100.0,92.07919173469388,1.209085859,21.86999995,20.65725425,20.6865362,19.89659207,19.85570412,21.05555515,21.34412696,22.3217778,22.30783627,22.90970723,23.08581303,22.87555655,22.313581,22.13613974,21.79462013,22.45019571,22.82222214,23.26143783,22.40074071,20.96197487,20.84527757,21.71083408,22.73746144,22.43398797,22.99816966,23.45844469,24.14169906,23.52836579,21.35649129,19.54379101,18.7202608,14.67170383,19.54955607,22.17570349,20.77333374,21.47157903,22.77358044,22.75703631,23.09871362,23.50543115,23.90718898,24.22755575,24.84522873,24.11503276,22.92800076,20.75444444,20.48422255,20.82617255,22.17777695,23.60000038,24.60000038,24.10000038,25.60000038,24.60000038,24.39999962,21.6,22.0
2.329999924,60.0,60.0,60.0,60.0,60.0,60.0,22.79999924,22.29999924,23.29999924,11.89999962,22.20000076,17.0,97.8,98.7,173.2459013,536.773333358,795.2245934,100.0,87.43879318367347,1.216159143,21.84527783,20.36627445,20.38980474,19.35170383,19.34518519,21.00444485,21.25650683,22.24355496,22.14853794,22.79017584,22.98871768,22.80518618,22.27530932,22.08795287,21.74643248,22.41725556,22.77647059,23.2198693,22.48790163,20.64320935,20.59055574,21.5744439,22.72793686,22.34013081,23.01202616,23.34688931,23.95346297,23.27607932,20.78385938,18.76653566,17.78222225,13.36059272,19.16200019,22.21392587,20.41466634,21.14923981,22.70765419,22.76651801,23.11649091,23.49851805,23.88549023,24.22911133,24.86326848,24.19477156,22.50333306,20.20377808,19.92177748,20.38345653,22.11382657,23.60000038,24.60000038,24.10000038,25.70000076,24.70000076,24.5,21.5,22.0
2.25999999,60.0,60.0,60.0,60.0,60.0,60.0,23.0,22.20000076,23.20000076,9.300000191,22.10000038,14.60000038,96.0,95.8,167.8000011,521.949333359,774.0999756,100.0,92.16083526530612,1.215088497,21.76111162,20.55032696,20.62745058,19.81007442,19.67348117,21.04533352,21.31777731,22.2942221,22.1852634,22.80912286,23.02359087,22.79506248,22.24641972,22.04421023,21.66081886,22.34954236,22.7176473,23.16209174,22.24913616,20.79209904,20.72555517,21.61361042,22.72317592,22.36078376,22.94954236,23.34666633,23.99607787,23.41803848,21.23391756,19.27816896,18.56522855,15.25688847,19.73377699,21.99022244,20.6160005,21.30783627,22.70963022,22.74814761,23.07391871,23.4538266,23.84888844,24.20888875,24.89124253,24.34797307,22.71866686,20.52844415,20.31400058,20.73827183,21.96962853,23.70000076,24.39999962,24.0,25.79999924,24.70000076,24.39999962,21.5,22.0
2.25,60.0,60.0,60.0,60.0,60.0,60.0,22.60000038,22.20000076,23.20000076,17.60000038,22.10000038,18.5,95.9,96.8,172.3573768,521.907111118,766.0245842,100.0,95.86463203061226,1.223059244,21.84388945,20.91895441,21.06797378,20.34844419,20.09599944,21.07377726,21.37841254,22.33155545,22.29777782,22.84888873,23.04376116,22.81851897,22.23654363,22.05286444,21.68935625,22.32941216,22.71869319,23.16418297,22.19432079,21.09851888,21.08777779,21.78499985,22.66920718,22.46013128,23.0198689,23.42222209,24.15816954,23.67215808,21.83321676,20.14091534,19.59163427,16.36237124,19.99333388,22.01599953,21.01888936,21.60257311,22.75777799,22.67199996,23.03204681,23.39111117,23.78849747,24.10288893,24.882093,24.23555581,23.01133267,21.1584451,20.96777785,21.21654324,22.20394973,23.5,24.5,24.0,25.60000038,24.5,24.29999924,21.6,22.0
2.294090867,60.0,60.0,60.0,60.0,60.0,60.0,22.60000038,22.20000076,23.20000076,13.10000038,22.10000038,17.89999962,95.9,95.9,175.4450839,511.885333331,757.9032903,100.0,94.90986177551021,1.229803491,21.80888977,20.79163443,20.88758234,20.16325883,19.96918575,21.03733222,21.31269783,22.25066678,22.23508793,22.81941475,22.98222176,22.73925955,22.17728377,21.99578907,21.61707578,22.25385734,22.6616992,23.11085014,22.26024712,21.05827124,21.01388889,21.74166624,22.65873103,22.4481056,22.98509825,23.43155545,24.07633823,23.64705946,21.78690086,19.9921575,19.34980405,15.86607368,19.83444356,22.05955512,20.91177816,21.53216403,22.75012343,22.68029659,23.02222151,23.36024652,23.77490115,24.07888889,24.82013203,24.2609146,22.98711066,21.0528892,20.78555603,21.03481543,22.079752,23.5,24.39999962,24.0,25.60000038,24.5,24.29999924,21.5,21.9
2.400000095,60.0,60.0,60.0,60.0,60.0,60.0,22.70000076,22.10000038,23.20000076,14.80000019,22.0,18.10000038,96.2,95.9,168.7557379,515.857686866,761.0442465,100.0,95.23559205102042,1.219956638,21.82333366,20.80758168,20.93437915,20.19081407,19.97511122,21.0511107,21.35428593,22.25748237,22.23532194,22.83157838,22.95316277,22.69728409,22.15654304,21.9527478,21.57730948,22.2360796,22.66222243,23.08522909,22.36666652,21.08642036,21.06222195,21.79083269,22.72158872,22.50823592,23.02091487,23.40688883,24.07947543,23.68366077,21.79625687,19.99424809,19.34692782,16.06992667,19.94466641,22.14488815,21.01444505,21.5878368,22.77827194,22.70281449,23.04046774,23.37629666,23.76235304,24.04866686,24.74326906,24.25215662,22.94999986,21.0708884,20.7937776,21.0960499,22.08715948,23.60000038,24.39999962,24.0,25.60000038,24.5,24.39999962,21.6,22.1
2.549999952,60.0,60.0,60.0,60.0,60.0,60.0,22.70000076,22.10000038,23.20000076,15.60000038,22.0,18.20000076,95.1,95.8,162.9934393,563.1231111129999,820.5032549,100.0,90.2579069489796,1.197066236,21.85638911,20.55764735,20.62248463,19.67792634,19.62874087,21.06133396,21.30761787,22.27762921,22.23438549,22.8933336,22.96786327,22.80024761,22.29061694,22.112748,21.74643333,22.42274481,22.79346397,23.24888924,22.52098833,20.88962998,20.84083362,21.76666624,22.85079326,22.49438006,23.07085041,23.40488864,24.05751578,23.4669286,21.10432771,19.18326839,18.18666609,14.21392524,19.56222188,22.37718497,20.79888828,21.51345065,22.900247,22.82251827,23.19883012,23.53432158,23.91032619,24.3355561,24.98588197,24.26745143,22.71844435,20.55022196,20.17222263,20.65777814,22.289876,23.60000038,24.5,24.0,25.60000038,24.5,24.29999924,21.6,22.0
2.529999971,60.0,60.0,60.0,60.0,60.0,60.0,23.10000038,22.29999924,23.29999924,9.300000191,22.20000076,14.89999962,99.3,98.9,173.9721305,562.579555541,840.3114554,100.0,90.11632682653061,1.205556133,21.81972198,20.50013037,20.4883659,19.63674063,19.6568892,21.06933268,21.33492073,22.34637026,22.28771873,22.94245634,23.06324849,22.89802419,22.3590115,22.24654941,21.8589479,22.51842982,22.89490137,23.36575146,22.55086451,20.87530834,20.77861133,21.76444456,22.88539555,22.48836518,23.09830091,23.4168889,24.05777795,23.45751602,21.03274761,19.04104554,18.1100653,14.23614805,19.63311157,22.37777751,20.70733276,21.50760234,22.92592547,22.88622188,23.24701727,23.57950552,23.96888875,24.34399929,25.03973732,24.37908521,22.72400045,20.4735553,20.11088921,20.55357945,22.22222207,23.70000076,24.5,24.10000038,25.89999962,24.79999924,24.5,21.6,22.0
2.61499989,60.0,60.0,60.0,60.0,60.0,60.0,23.0,22.29999924,23.29999924,12.30000019,22.29999924,17.29999924,102.4,101.5,170.1967194,565.9142222229999,815.5524642,100.0,92.40294854081633,1.207076769,21.91277746,20.72078331,20.70143859,19.94370343,19.93599998,21.09200005,21.40444355,22.43022271,22.41707557,23.02573092,23.13641086,22.980988,22.45308604,22.28842045,21.92538092,22.5966007,22.93019605,23.46248356,22.63753105,21.10394988,21.03222266,21.88388935,22.91396794,22.61150341,23.17803915,23.50866692,24.1743788,23.65803949,21.41543868,19.50875851,18.69124165,14.76562952,19.70955648,22.46429651,20.99155504,21.72748481,23.00419756,22.92000036,23.26923964,23.61506227,23.95843147,24.30600003,25.03137175,24.40130623,22.92266656,20.80488878,20.51155551,20.89432109,22.40888868,23.70000076,24.60000038,24.10000038,25.70000076,24.79999924,24.60000038,21.5,22.0
2.529999971,60.0,60.0,60.0,60.0,60.0,60.0,23.0,22.29999924,23.29999924,12.0,22.20000076,17.0,100.9,101.4,168.672134,559.833777762,820.7704758,100.0,89.32412140816326,1.203962718,21.87500059,20.49751639,20.49882445,19.63437048,19.63111192,21.13688883,21.40031661,22.4284451,22.35064397,23.00748519,23.10461614,22.96666659,22.43061712,22.24608183,21.90128666,22.58405163,22.95032728,23.41856163,22.62617331,20.87827126,20.83305554,21.79972204,22.95015879,22.57045795,23.19241824,23.47555501,24.08156778,23.4379089,21.02105313,18.99346413,18.00758136,13.80800013,19.46311096,22.454815,20.77911079,21.55532177,23.0261727,22.95022226,23.31929839,23.64049374,24.03843172,24.37244486,25.02431449,24.2807847,22.76800035,20.45244405,20.10777771,20.56839524,22.28024661,23.79999924,24.60000038,24.20000076,25.70000076,24.89999962,24.60000038,21.6,22.0
2.574999928,60.0,60.0,60.0,60.0,60.0,60.0,23.20000076,22.39999962,23.29999924,9.800000191,22.20000076,15.10000038,100.9,101.4,172.1703124,579.136000004,818.6360764,100.0,89.4461829489796,1.208954105,21.85916697,20.57359491,20.53934542,19.71170356,19.77600025,21.13511122,21.45111103,22.472889,22.45707558,23.0970756,23.22017029,23.13036913,22.60790232,22.25660779,21.91274842,22.64862587,23.07267915,23.49803906,22.53333363,20.84271662,20.68916736,21.72583288,22.85841181,22.39712385,22.99450995,23.31066698,23.91111135,23.25542495,20.86853727,18.44470598,17.64418275,14.55111075,19.75777791,22.26459238,20.70933302,21.49988357,22.94790099,22.89037001,23.24514646,23.61209724,24.00130663,24.1755563,24.88496668,24.14169858,22.47777724,19.94111125,19.83066684,20.7429625,22.29160556,24.0,24.5,24.10000038,25.70000076,24.70000076,24.39999962,21.5,22.0
2.560082587,60.0,60.0,60.0,60.0,60.0,60.0,23.0,22.29999924,23.39999962,14.69999981,22.29999924,17.79999924,102.9,102.6,171.967215,584.4182222119999,825.8278689,100.0,92.81734081632653,1.206679862,21.94361055,20.76444379,20.88339852,20.11555528,20.07111066,21.2497777,21.61873043,22.63525942,22.65356731,23.20888886,23.34324878,23.20246785,22.67728513,22.28958976,21.94643312,22.69725366,23.13124146,23.56731938,22.69975322,21.1960499,21.05222244,21.95500014,22.94634806,22.5981695,23.15633952,23.51288934,24.08470587,23.47764797,21.30409342,19.24549042,18.46039281,15.25511077,20.02066698,22.48,21.2162224,21.80537945,23.04074074,22.91970396,23.32397675,23.65481507,24.04130716,24.24355591,24.96130818,24.10562066,22.93466621,20.530444,20.40266683,21.17851834,22.58123538,23.79999924,24.60000038,24.20000076,25.70000076,24.70000076,25.39999962,21.6,22.0
2.730198694,60.0,60.0,60.0,60.0,60.0,60.0,23.10000038,22.39999962,23.5,12.30000019,22.39999962,16.70000076,106.8,106.0,174.9278685,588.935111139,850.4721139,100.0,92.166266,1.204341697,21.93222249,20.6405224,20.90692729,20.07970405,19.98044397,21.24355618,21.59269835,22.6343712,22.61660749,23.19181187,23.33846258,23.20617231,22.68839556,22.35064305,22.02690087,22.73150244,23.15058769,23.62588194,22.70049401,21.22987663,20.93416663,21.91833293,22.9615868,22.554249,23.07947759,23.46200094,24.11398607,23.53228792,21.29333353,19.01594749,18.27921589,15.1182218,19.92911153,22.48474103,21.12044474,21.72818732,23.04814822,22.92503689,23.29029227,23.63432158,24.05071918,24.24711127,24.97045867,24.16104625,22.89288886,20.38422214,20.25733378,21.05827192,22.48617313,24.0,24.70000076,24.29999924,25.60000038,24.89999962,25.20000076,21.5,22.0
2.839999914,60.0,60.0,60.0,60.0,60.0,60.0,23.10000038,22.5,23.5,12.39999962,21.79999924,14.80000019,106.1,106.7,175.2442645,586.7377777819999,857.8934506,100.0,91.30558536734694,1.202950391,21.94749993,20.7657509,20.76732002,19.95259214,19.94162996,21.23555488,21.57142867,22.62340721,22.62760274,23.21988304,23.32649562,23.17185013,22.67308749,22.38128626,22.03462085,22.73751548,23.16914948,23.62954181,22.69753094,21.13111052,20.94416682,21.90833367,22.93174535,22.51973853,23.12130741,23.47688897,24.09411749,23.50143764,21.19181301,18.97803899,18.14980421,14.65807432,19.79933404,22.4945185,21.1235553,21.74034988,23.01506189,22.92088912,23.30245561,23.66567963,24.05490164,24.24444397,24.99791028,24.19320252,22.81377753,20.38155511,20.2066666,20.95308695,22.47012389,23.89999962,24.70000076,24.29999924,25.70000076,24.79999924,25.29999924,21.6,22.0
3.164999962,60.0,60.0,60.0,60.0,60.0,60.0,23.10000038,22.39999962,23.5,12.39999962,22.29999924,17.39999962,104.2,103.9,169.4020451,585.8057777869999,838.7819664,100.0,92.51690007142858,1.20047803,21.95805469,20.6763395,20.83999909,20.04888907,20.021926,21.21333293,21.56793639,22.61244412,22.62198822,23.20046758,23.31145426,23.10740726,22.61456743,22.36514564,22.00842207,22.69542396,23.13673136,23.63660067,22.72222275,21.2153086,21.03444494,21.98138877,22.98539593,22.55869292,23.1383004,23.51400045,24.15058721,23.60209139,21.40046744,19.28836574,18.44130732,15.06044438,19.87644463,22.49925926,21.14177755,21.80584781,23.08469193,22.93037019,23.28959076,23.66518547,24.0431371,24.22177768,24.96496694,24.18274556,22.98777703,20.62333306,20.3657782,21.05086361,22.47037067,23.89999962,24.60000038,24.20000076,25.60000038,24.79999924,25.20000076,21.5,22.0
3.309999943,60.0,60.0,60.0,60.0,60.0,60.0,23.10000038,22.39999962,23.5,12.5,22.39999962,17.0,105.8,104.7,182.5983606,588.380000014,847.5639198,100.0,92.12554301020408,1.214023221,21.95249964,20.63816899,20.85777732,20.05896304,20.07081525,21.17466675,21.49841192,22.56651774,22.60467908,23.21426916,23.33265047,23.16024554,22.59283922,22.40093509,22.06783654,22.70954103,23.14875768,23.6120256,22.7017288,21.22518537,20.97027791,21.90666623,22.97968169,22.56888771,23.07634022,23.52022332,24.20052267,23.59869313,21.32491191,19.2222219,18.368366,14.82844428,19.86399997,22.46962981,21.03711107,21.75134484,23.06148139,22.96622206,23.3019881,23.66148207,24.08209045,24.27044468,25.00967339,24.22196101,23.00799988,20.58977804,20.32711107,21.03703658,22.49728476,23.89999962,24.70000076,24.29999924,25.70000076,24.79999924,25.39999962,21.6,22.0
3.805000067,60.0,60.0,60.0,60.0,60.0,60.0,23.0,22.39999962,23.5,12.5,22.5,17.0,106.2,105.4,186.1688557,588.8626666329999,843.5196833,100.0,88.98774267346938,1.219400767,21.91138916,20.44235281,20.68705863,19.76711218,19.76444453,21.27644531,21.61206423,22.61748173,22.60514587,23.22362525,23.32034265,23.09506263,22.60567815,22.35228086,22.00748519,22.70901836,23.14901945,23.61150301,22.68000059,20.98765425,20.66972266,21.74722222,22.91777751,22.37490234,22.94013129,23.20777839,23.86326856,23.24522984,20.70479558,18.27947687,17.51006554,14.38755575,19.78355523,22.47881501,20.89000007,21.54783614,22.91876582,22.93244448,23.27906508,23.6432104,23.99058774,24.17711093,24.90143756,23.97594736,22.42644457,19.88755547,19.82822225,20.86049368,22.51777736,24.0,24.70000076,24.29999924,25.70000076,24.79999924,25.5,21.5,22.0
3.579999924,60.0,60.0,60.0,60.0,60.0,60.0,23.29999924,22.29999924,23.39999962,11.10000038,21.89999962,14.69999981,103.3,102.6,175.5786864,578.4248889229999,850.3852369,100.0,92.96837265306122,1.205027586,21.93111089,20.74980357,20.95764663,20.24918584,20.18311144,21.3097781,21.70317422,22.68918538,22.67321656,23.21216349,23.38427286,23.1535802,22.62617255,22.35836303,22.03181374,22.67660016,23.10954231,23.62169828,22.59061799,21.19037144,20.83916719,21.78388935,22.92190397,22.41045736,22.88522941,23.14888889,23.76549056,23.22666686,21.06713432,18.61045728,18.28366013,16.24622161,20.29666633,22.32681496,21.05822238,21.68795352,23.00962984,22.96770399,23.21824566,23.54419691,23.90535889,24.04577861,24.85725528,23.917386,22.39555617,19.96866618,20.29822171,21.33827078,22.51037078,23.79999924,24.5,24.10000038,25.5,24.79999924,25.10000038,21.4,21.9
3.460016677,60.0,60.0,60.0,60.0,60.0,60.0,23.0,22.39999962,23.5,14.0,21.89999962,17.29999924,104.1,103.9,180.8999939,579.46000004,837.0,100.0,93.23402342857143,1.214695355,21.98999922,20.76993416,21.05254856,20.27466706,20.1333327,21.24311103,21.65079317,22.62548123,22.63789448,23.22456098,23.36581071,23.0688891,22.52074035,22.4224563,22.09520514,22.69986796,23.13542433,23.64993426,22.68814818,21.30617269,20.9511116,21.8730562,22.9777771,22.53960815,22.99111113,23.35400024,23.95215602,23.37228741,21.31555526,19.12209177,18.57673244,15.67051875,20.1017768,22.41511131,21.12333266,21.81169555,23.04839493,22.98874096,23.30315777,23.6360497,23.9981691,24.14511149,24.90431443,24.02928124,22.76488858,20.41777744,20.5260003,21.31283946,22.60419809,23.79999924,24.70000076,24.10000038,25.70000076,24.70000076,25.20000076,21.6,22.0
