Amb_temp,FS0,FS1,FS2,FS3,FS4,FS5,Supply_Air_Temp0,Supply_Air_Temp1,Supply_Air_Temp2,Supply_Air_Temp3,Supply_Air_Temp4,Supply_Air_Temp5,LC_FlowRate1,LC_FlowRate2,cooling_power,rack_power,IT_power,RCI_HI,RCI_LO,PUE,Rack_Tem0,Rack_Tem1,Rack_Tem2,Rack_Tem3,Rack_Tem4,Rack_Tem5,Rack_Tem6,Rack_Tem7,Rack_Tem8,Rack_Tem9,Rack_Tem10,Rack_Tem11,Rack_Tem12,Rack_Tem13,Rack_Tem14,Rack_Tem15,Rack_Tem16,Rack_Tem17,Rack_Tem18,Rack_Tem19,Rack_Tem20,Rack_Tem21,Rack_Tem22,Rack_Tem23,Rack_Tem24,Rack_Tem25,Rack_Tem26,Rack_Tem27,Rack_Tem28,Rack_Tem29,Rack_Tem30,Rack_Tem31,Rack_Tem32,Rack_Tem33,Rack_Tem34,Rack_Tem35,Rack_Tem36,Rack_Tem37,Rack_Tem38,Rack_Tem39,Rack_Tem40,Rack_Tem41,Rack_Tem42,Rack_Tem43,Rack_Tem44,Rack_Tem45,Rack_Tem46,Rack_Tem47,Rack_Tem48,Return_Air_Temp0,Return_Air_Temp1,Return_Air_Temp2,Return_Air_Temp3,Return_Air_Temp4,Return_Air_Temp5,LC_RET0,LC_RET1
13.55876027,60,60,60,60,60,60,23.79999924,16.79999924,17.5,15.89999962,26.70000076,26.5,90.2,91.1,312.7885215,549.7226666,800.7032871,96.65075664,100,1.392308796,23.92610948,22.75477119,23.02274433,23.00592547,23.72118598,24.58888862,25.32666733,26.00888871,26.05403389,26.85286658,27.57196744,27.73111211,27.51555537,27.19695866,26.95461997,27.28235278,27.34823501,27.63607712,23.33703696,21.32444413,20.8033332,21.33444477,22.64571417,21.42300626,22.71712423,21.61688863,23.46562133,23.65725473,22.09543914,20.38980378,22.24026126,22.48266719,25.51333442,22.25540762,21.24311076,21.51391751,22.76098753,21.96088858,22.22713495,22.1535796,21.89411781,23.19333455,25.18431396,23.26117598,21.81444404,21.12755534,22.73577759,24.59037137,26.39777651,28.89999962,26.10000038,26.10000038,27.20000076,25.79999924,27.10000038,24,24.5
13.85000038,60,60,60,60,60,60,23.89999962,16.79999924,17.39999962,15.89999962,26.70000076,26.5,89.5,89.8,312.7764472,558.7084444,801.3918067,96.26045529,100,1.391628053,24.03249986,22.84836609,22.99973823,23.03170374,23.75466734,24.57733236,25.31904743,26.03940701,26.09964849,26.94222234,27.65128247,27.80888853,27.59061792,27.20795313,26.99859641,27.35372546,27.3769935,27.67529281,23.38049362,21.7686427,21.23444451,21.52138824,22.72476167,21.5743796,22.89176408,21.75822177,23.36235224,23.6418303,22.31508753,20.48000002,22.31843142,22.49925953,25.51400052,21.98518528,21.38555542,21.77356678,22.76246986,22.076148,22.29707638,22.2237041,22.10091489,23.13377767,25.05516413,23.31790827,22.11444444,21.1157782,22.770444,24.70419839,26.45827049,28.89999962,25.89999962,26,27.29999924,25.60000038,27.20000076,24.1,24.6
14,60,60,60,60,60,60,24,17.20000076,17.79999924,16.39999962,26.70000076,26.5,93.4,92.1,310.8159614,561.5493334,821.2741699,96.22509564,100,1.379995743,24.07750032,22.90326797,23.09830211,23.14874023,23.83940737,24.63644287,25.36730104,26.09036983,26.12701766,26.93567223,27.66974326,27.80518528,27.56493839,27.23649146,27.0063161,27.37777858,27.35137118,27.68758202,23.46938198,21.85530931,21.3833335,21.76250008,22.91079344,21.79817006,23.13934637,21.88044501,23.51895489,23.79267945,22.46175444,20.64418307,22.37307129,22.58400002,25.52200087,22.17303684,21.5399998,21.95836239,22.92518454,22.24118589,22.57005851,22.4790128,22.35555468,23.19133403,25.17934738,23.6041835,22.21711155,21.28511095,22.89533352,24.83432052,26.5204947,28.89999962,25.89999962,26.10000038,27.29999924,26,27.10000038,24,24.5
14,70,69,70,60,69,60,23.89999962,17.39999962,18.60000038,17,26.79999924,26.5,93.9,92.6,330.2885325,559.2888889,811.3147503,96.61327532,100,1.408581868,24.0713896,22.88758242,22.96104601,22.97007378,23.62222267,24.3084436,25.13809543,25.94903664,25.95087705,26.81707571,27.51247809,27.71728485,27.51802496,27.22924091,26.97988367,27.33490269,27.304575,27.70248369,23.37234557,22.01925953,21.72472153,22.03555518,22.99269816,21.93620917,23.18849707,22.10422221,23.8789546,24.19660094,22.18830395,20.4473206,22.30326726,22.26400002,25.24399957,22.22814833,21.75888923,22.42081863,23.15753076,22.29866735,22.7043275,22.54518516,22.45542375,23.44711161,25.47869227,23.77594776,21.81355543,21.16000061,23.09000075,24.993333,26.54394983,28.89999962,26.29999924,26.20000076,27.39999962,26.10000038,27.20000076,24,24.5
14.88970037,70,70,70,60,70,60,24.29999924,17.89999962,18.79999924,17.20000076,26.79999924,26.5,93.8,93.5,327.2033638,556.2004444,808.5983677,99.64065493,100,1.405038112,23.95111186,22.75634048,22.74039307,22.58162869,22.9665191,23.19822252,23.86698444,24.69985279,24.813333,25.65660665,26.19111036,26.57160569,26.23284008,25.64888909,25.30081894,26.22980383,26.71032715,27.35215817,23.25358005,21.89037099,21.7219435,22.26249907,23.1015872,22.12156839,23.31816925,22.12577752,23.96287602,24.28183083,21.27345042,20.17019609,21.81254883,21.26311107,23.95511122,22.81066678,21.937779,22.3398838,23.46617281,22.46903664,23.01754422,22.73530786,22.55712444,23.36311144,25.48052284,23.98771199,21.05288913,21.28933356,23.23933329,24.96419859,26.45999967,29.10000038,26.29999924,26.29999924,27.39999962,26.20000076,27.20000076,24,24.5
15.21000004,75,75,75,60,75,60,21.39999962,18.39999962,19.89999962,17.89999962,25.10000038,26.39999962,90,89.8,324.1052198,553.9422222,798.9770288,100,100,1.407137446,23.92500068,22.80209123,22.82196117,22.61570331,22.68207303,22.8377771,23.26507888,24.04207293,24.13964837,24.88678385,25.31966031,25.66765355,25.34889089,24.81520332,24.39461991,25.33202535,26.22274561,26.95111124,23.45061736,22.09802495,22.02138833,22.72611101,23.39904727,22.5777769,23.57281095,22.40311232,24.20758144,24.25934596,21.25824567,20.33228752,21.80810523,21.00859266,23.29444499,23.56385236,22.37733331,22.51345029,23.93555554,22.87674081,23.50362642,23.11728342,22.88366045,23.35422112,25.50196102,23.91581688,21.13799988,21.58666653,23.45711053,24.90320909,26.28815059,29.20000076,26.20000076,26.5,27.29999924,26.20000076,27.10000038,24,24.5
15.57499981,75,75,75,60,75,60,21.5,18.89999962,20.70000076,18.39999962,24.89999962,26.20000076,89.3,88.6,325.4412875,538.3937778,787.8328007,100,100,1.414808801,24.01888902,22.87607813,22.892549,22.71881519,22.7605929,22.92888835,23.28857054,24.05836941,24.09005848,24.82549621,25.2540183,25.52296316,25.1797526,24.63766083,24.20327555,25.18562219,26.0737252,26.72758103,23.55209848,22.41061748,22.31222136,22.9361112,23.64634894,22.71450985,23.67607845,22.58155653,24.37934618,24.39241824,21.58736836,20.77359491,21.90013029,21.16770345,23.38511081,23.55466661,22.60311184,22.87882987,24.1518523,23.10666594,23.53520544,23.27209759,23.09647097,23.48688816,25.46039273,23.87607837,21.30555556,21.93400079,23.557555,25.01111202,26.20790337,29.29999924,26.29999924,26.60000038,27.29999924,26,27,24,24.5
15.64000034,76,75,75,60,75,60,21.60000038,19.10000038,20.89999962,18.79999924,24.89999962,26.20000076,87.5,88.2,331.3311527,532.404,775.9950752,100,100,1.428579291,24.10555556,22.90719002,22.92287582,22.78400029,22.82488869,22.90933363,23.26952311,23.97066614,24.03134402,24.74409287,25.15282045,25.42567855,25.08888844,24.55485326,24.14292342,25.03973843,25.94352916,26.62797325,23.63357981,22.48098777,22.35361031,22.90222134,23.58698411,22.78222233,23.73411857,22.67311198,24.46745095,24.46692836,21.66409327,20.83163368,21.92130701,21.21274025,23.26511129,23.64414714,22.68933424,22.93918179,23.96098716,23.02103624,23.57941609,23.31333264,23.09228851,23.42533176,25.45542567,23.94117631,21.3771106,21.95666762,23.56088901,24.91629654,26.13185206,29.39999962,26.29999924,26.60000038,27.29999924,26,26.89999962,24,24.5
15.91958685,75,75,75,60,75,60,21.5,19.10000038,20.79999924,18.79999924,24.89999962,26.10000038,87.4,86.9,327.3451693,538.1417778,770.5645043,100,100,1.426465739,24.23138869,23.04130676,23.09359442,22.97748056,22.95437093,23.03777791,23.38666643,24.02074092,24.0828065,24.75345045,25.21059831,25.42049312,25.07827186,24.49403612,24.08865496,25.00941202,25.93098113,26.60522828,23.86271588,22.80493767,22.67472254,23.20388845,23.82952367,23.1090198,23.88993399,22.9462224,24.62980438,24.61986842,22.03508736,21.12522842,22.14849694,21.4085923,23.28711107,23.8657779,22.95955512,23.19532135,24.23234592,23.27170365,23.81684292,23.48074054,23.33202614,23.68511068,25.55607934,24.17124215,21.70577738,22.20866645,23.70511129,24.97802478,26.11778022,29.29999924,26.29999924,26.5,27.20000076,26.10000038,26.89999962,24,24.5
15.97000027,75,75,75,60,75,60,21.79999924,19.70000076,21.70000076,19.60000038,24.79999924,26.10000038,90.3,88.3,336.1278638,534.3568889,781.7147437,100,100,1.431529243,24.24916636,23.24522857,23.30640518,23.2044449,23.05096273,23.18488987,23.47365025,24.05925971,24.06175459,24.68397731,25.11281999,25.31555741,24.96493832,24.45146227,24.03555523,24.95111044,25.88000041,26.54483746,24.09061754,23.02444413,22.95333388,23.51416643,24.09841202,23.44836593,24.15633992,23.31599921,24.78326751,24.7064055,22.39462041,21.61464062,22.54143713,21.6746667,23.32911146,24.38992513,23.33066644,23.47438615,24.4691358,23.53155463,24.09988264,23.73975152,23.66196153,23.96733358,25.63503274,24.23973875,22.14977776,22.55111206,23.85999993,25.09555543,26.18543445,29.29999924,26.29999924,26.60000038,27.20000076,26.10000038,26.79999924,24,24.4
